id,name,nation,date_of_birth,sex
1,Jason Kenny,Great Britain,23/03/1988,male
2,Callum Skinner,Great Britain,20/08/1992,male
3,Matthew Glaetzer,Australia,24/08/1992,male
4,Denis Dmitriev,Russia,23/03/1986,male
5,Grégory Baugé,France,31/01/1985,male
6,Njisane Phillip,Trinidad and Tobago,29/05/1991,male
7,Damian Zielinski,Poland,02/12/1981,male
8,Jeffrey Hoogland,Netherlands,16/03/1993,male
9,Sam Webster,New Zealand,16/07/1991,male
10,Edward Dawkins,New Zealand,11/08/1989,male
11,Francois Pervis,France,16/10/1984,male
12,Joachim Eilers,Germany,02/04/1990,male
13,Xu Chao,China,05/11/1994,male
14,Pavel Kelemen,Czech Republic,28/05/1991,male
15,Rafal Sarnecki,Poland,08/01/1990,male
16,Fabian Hernando Puerta Zapata,Colombia,12/07/1991,male
17,Patrick Constable,Australia,15/07/1995,male
18,Maximilian Levy,Germany,26/06/1987,male
19,Juan Peralta Gascon,Spain,17/05/1990,male
20,Kang Dong-jin,South Korea,23/12/1987,male
21,Theo Bos,Netherlands,22/08/1983,male
22,Im Chaebin,South Korea,29/10/1991,male
23,Santiago Ramírez,Colombia,20/07/1994,male
24,Hersony Canelon,Venezuela,08/12/1988,male
25,Seiichiro Nakagawa,Japan,07/06/1979,male
26,Nikita Shurshin,Russia,08/04/1993,male
27,Cesar Marcano,Venezuela,22/10/1987,male
28,Shane Perkins,Australia,30/12/1986,male
29,Robert Förstemann,Germany,05/03/1986,male
30,Hersony Canelón,Venezuela,08/12/1988,male
31,Zhang Miao,China,12/08/1988,male
32,Eddie Dawkins,New Zealand,11/08/1989,male
33,Azizulhasni Awang,Malaysia,05/01/1988,male
34,Jimmy Watkins,United States,26/08/1982,male
35,Bernard Esterhuizen,South Africa,04/10/1992,male
36,Hodei Mazquiaran,Spain,16/12/1988,male
37,Zafeiris Volikakis,Greece,20/06/1989,male
38,Chris Hoy,Great Britain,23/03/1976,male
39,Stefan Nimke,Germany,01/03/1978,male
40,Kévin Sireau,France,18/04/1987,male
41,Mickaël Bourgain,France,28/05/1980,male
42,Roberto Chiappa,Italy,11/09/1973,male
43,Mark French,Australia,13/10/1984,male
44,Kazunari Watanabe,Japan,12/08/1983,male
45,Ryan Bayley,Australia,09/03/1982,male
46,Teun Mulder,Netherlands,18/06/1981,male
47,Tsubasa Kitatsuru,Japan,26/04/1985,male
48,Michael Blatchford,United States,29/01/1986,male
49,Zhang Lei,China,04/04/1981,male
50,Łukasz Kwiatkowski,Poland,29/05/1982,male
51,Adam Ptáčník,Czech Republic,04/12/1985,male
52,Vasileios Reppas,Greece,04/11/1988,male
53,Daniel Novikov,Estonia,06/06/1989,male
54,René Wolff,Germany,04/04/1978,male
55,Laurent Gané,France,07/03/1973,male
56,Ross Edgar,Great Britain,03/01/1983,male
57,José Antonio Villanueva,Spain,03/02/1979,male
58,Sean Eadie,Australia,15/04/1969,male
59,Josiah Ng,Malaysia,02/02/1980,male
60,Barry Forde,Barbados,17/09/1976,male
61,Tomohiro Nagatsuka,Japan,28/11/1978,male
62,Kim Chi-beom,South Korea,21/02/1981,male
63,Jaroslav Jeřábek,Slovakia,02/04/1971,male
64,Yang Hui-cheon,South Korea,08/12/1982,male
65,Alois Kaňkovský,Czech Republic,09/07/1983,male
66,Marty Nothstein,United States,10/02/1971,male
67,Laurent Gane,France,07/03/1973,male
68,Florian Rousseau,France,03/02/1974,male
69,Jens Fiedler,Germany,15/02/1970,male
70,Viesturs Bērziņš,Latvia,09/04/1974,male
71,Pavel Buran,Czech Republic,25/04/1973,male
72,Craig MacLean,Great Britain,31/07/1971,male
73,Darryn Hill,Australia,11/08/1974,male
74,Ján Lepka,Slovakia,03/01/1977,male
75,Jan van Eijden,Germany,10/08/1976,male
76,Jose Villanueva,Spain,03/02/1979,male
77,Shinichi Ota,Japan,11/10/1975,male
78,Anthony Peden,New Zealand,15/09/1970,male
79,Nikolaos Angelidis,Greece,22/01/1977,male
80,Julio César Herrera,Cuba,11/03/1977,male
81,Christian Arrue,United States,08/01/1969,male
82,Bartlomiej Saczuk,Poland,10/10/1979,male